Campaign report
"October 1, 2016 - September 16, 2026"
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Optimization score,Campaign type,Bid strategy type,Conv. value,Cost,Conversions,Conv. rate,Cost / conv.,Impr.,Clicks,CTR,Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable)
Paused,pmaxcomprasa360scpr_gg_pm_bg_lc_ao_wb_re_vr_pf,650.00, --,Daily,BRL,Paused,campaign paused, --,Performance Max,Target CPA,"27,453,598,803.62",37667.19,"51,468.08",18.45%,0.73,"1,394,182","271,426",19.47%,0.00,0.00
Paused,dsacomprabr_gg_se_bg_lc_ao_wb_re_vr_pf,1300.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"829,392,350,423.92",3007176.07,"3,229,483.33",15.91%,0.93,"93,838,706","20,295,904",21.63%,0.00,0.00
Enabled,pmaxcomprasa360br_gg_pm_bg_lc_ao_wb_re_vr_pf,5000.00, --,Daily,BRL,Eligible,some asset groups disapproved; some asset groups limited by policy; unknown; unknown,90.68,Performance Max,Target CPA,"803,392,420,442.24",3401930.02,"3,396,528.75",13.32%,1.00,"116,674,868","23,536,941",20.17%,0.00,0.00
Paused,dsacompra24br_gg_se_bg_lc_ao_wb_re_vr_pf,300.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"328,824,820.16",22045.40,"2,400.98",5.07%,9.18,"196,952","47,383",24.06%,0.00,0.00
Paused,Imob_AM,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,Imob_SC,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,Imob_ES,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,DSA_Geral_Corona,20000.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"2,279,182.16",2431310.25,"2,279,182.16",9.48%,1.07,"140,148,461","24,054,279",17.16%,0.00,0.00
Paused,SEM - Aluguel_Genérico,1500.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"70,447.86",113643.89,"70,447.86",20.41%,1.61,"5,504,244","345,247",6.27%,0.00,0.00
Paused,pmaxbr_gg_pm_bg_ld_ao_wb_re_vr_pf - old,10000.00, --,Daily,BRL,Paused,campaign paused; some asset groups limited by policy, --,Performance Max,Target CPA,"637,857,230.10",2295018.98,"1,867,767.39",11.00%,1.23,"78,685,287","16,975,246",21.57%,0.00,0.00
Paused,Imob_NA,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,DSA_VivaReal_ Geral,20000.00, --,Daily,BRL,Paused,campaign paused; All ad groups paused; some ads disapproved, --,Search,Target CPA,"10,402,188.00",8444288.40,"10,402,188.00",12.98%,0.81,"439,181,433","80,136,564",18.25%,0.00,0.00
Enabled,dsageral25br_gg_se_bg_ld_ao_wb_re_vr_pf,1500.00, --,Daily,BRL,Eligible (Limited),app deep links have issues,85.99,Search,Target CPA,"1,974,463,073.15",642844.25,"286,014.00",8.77%,2.25,"19,291,705","3,261,160",16.90%,0.00,0.00
Paused,dsacomprasa360br_gg_se_bg_lc_ao_wb_re_vr_pf,8700.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"4,819,056.37",1086844.01,"723,049.84",11.08%,1.50,"25,981,856","6,527,291",25.12%,0.00,0.00
Enabled,pmax24br_gg_pc_bg_ld_ao_wb_re_vr_pf,10000.00, --,Daily,BRL,Eligible,some asset groups disapproved; unknown; unknown,91.14,Performance Max,Target CPA,"1,825,675,401,697.29",6556735.31,"6,607,368.60",13.97%,0.99,"184,792,884","32,291,483",17.47%,0.00,0.00
Paused,dsacomprasa360rjmg_gg_pc_bg_lc_ao_wb_re_vr_pf,710.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"16,611,325,652.94",33514.60,"47,046.39",23.43%,0.71,"928,062","200,828",21.64%,0.00,0.00
Paused,pmaxcomprasa360g3_gg_pm_bg_lc_ao_wb_re_vr_pf,200.00, --,Daily,BRL,Paused,campaign paused, --,Performance Max,Target CPA,"5,256,533,752.40",14792.92,"11,004.76",11.45%,1.34,"453,969","77,509",17.07%,0.00,0.00
Enabled,senbcompramcmvbr_gg_pc_bg_lc_ao_wb_re_vr_pf,2000.00, --,Daily,BRL,Eligible (Limited),app deep links have issues,77.91,Search,Target CPA,"546,995,579.54",56181.95,"14,317.75",7.16%,3.92,"1,115,273","199,939",17.93%,0.00,0.00
Enabled,DSA_VivaReal_Geral - tCPA,20000.00, --,Daily,BRL,Ended,campaign ended; some ads disapproved, --,Search,Target CPA,"326,630.00",165561.20,"326,630.00",15.97%,0.51,"10,668,870","2,045,461",19.17%,0.00,0.00
Paused,SEM - Aluguel_RJ,650.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"19,812.56",42619.88,"19,812.56",17.97%,2.15,"2,000,284","110,281",5.51%,0.00,0.00
Paused,teste,2000.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,dsacomprasa360sp_gg_pc_bg_lc_ao_wb_re_vr_pf,500.00, --,Daily,BRL,Paused,campaign paused, --,Search,Target CPA,"54,009,103,794.26",77691.99,"115,750.87",26.30%,0.67,"2,168,162","440,117",20.30%,0.00,0.00
Enabled,senbgeralr_gg_pc_bg_ld_ao_wb_re_vr_pf,9700.00, --,Daily,BRL,Eligible (Limited),app deep links have issues,83.70,Search,Target CPA,"1,257,851,557.55",1280197.64,"492,103.46",9.41%,2.60,"25,524,749","5,230,576",20.49%,0.00,0.00
Paused,Imob_AP,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,Imob_TO,150.00, --,Daily,BRL,Paused,campaign paused; No ad agroups, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,GSP_B2B,200.00, --,Daily,BRL,Paused,campaign paused, --,Display,CPC (enhanced),71.00,2105.94,71.00,0.42%,29.66,"93,592","16,825",17.98%,0.00,0.00
Paused,DSA - Imobiliárias Minisite,60.00, --,Daily,BRL,Paused,campaign paused, --,Search,CPC (enhanced),0.00,0.00,0.00,0.00%,0.00,0,0, --,0.00,0
Paused,SEM_iBuyer,250.00, --,Daily,BRL,Paused,campaign paused; most ads disapproved, --,Search,Manual CPC,333.00,6623.06,333.00,5.47%,19.89,"49,311","6,084",12.34%,0.00,0.00
