Ad group report
"October 1, 2016 - September 16, 2026"
Ad group status,Ad group,Campaign,Currency code,Default max. CPC,Target CPA,Status,Status reasons,Ad group type,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Brand Inclusions,Locations of interest,Conv. (Platform Comparable),Cost / Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable),Conv. rate,Conversions,Cost / conv.
Paused,C_RJ_Macuco,DSA_VivaReal_ Geral,BRL, --,0.38,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,17.83,290,70,24.14%,0.07,5.17,[],[],0.00,0,0.00,14.29%,10.00,0.52
Enabled,C_SP_Motuca,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Novais,Teste Ordenação 50% 2018-06-13,BRL,0.20 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_RJ_Laje do Muriae,Teste Ordenação 50% 2018-06-13,BRL,0.20 (enhanced), --,Not eligible,campaign ended,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Coronel Macedo,Teste Ordenação 50% 2018-06-13,BRL,0.20 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_RJ_Miguel Pereira,Teste Ordenação 10% 2018-06-04,BRL,0.20 (enhanced), --,Not eligible,campaign ended,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Taiuva,Teste Ordenação 10% 2018-06-04,BRL,0.20 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Paused,C_SP_Gaviao Peixoto,DSA_VivaReal_ Geral,BRL, --,0.38,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,16.77,626,178,28.43%,0.06,10.50,[],[],0.00,0,0.00,8.43%,15.00,0.70
Paused,C_SP_Bom Sucesso de Itarare,DSA_VivaReal_ Geral,BRL, --,0.38,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Paused,C_SP_Piquerobi,DSA_VivaReal_ Geral,BRL, --,0.38,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Paused,C_SP_Lutecia,DSA_VivaReal_ Geral,BRL, --,0.38,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Paused,C_SP_Aguai,DSA_VivaReal_ Geral,BRL, --,0.38,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,21.78,"7,529","1,865",24.77%,0.09,164.01,[],[],0.00,0,0.00,0.97%,18.00,9.11
Paused,B2B_Mkt_Publicidade,SEM_B2B,BRL,0.60 (enhanced), --,Paused,ad group paused; campaign paused,Standard,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Narandiba,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,0.00,1,0,0.00%,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Guarulhos,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,18.52,"95,098","18,196",19.13%,0.10,1761.16,[],[],0.00,0,0.00,18.95%,"3,449.00",0.51
Enabled,C_PR_Londrina,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,12.09,"59,370","9,989",16.82%,0.07,717.94,[],[],0.00,0,0.00,14.40%,"1,438.00",0.50
Enabled,C_RS_Cachoeirinha,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,13.46,"15,855","3,188",20.11%,0.07,213.43,[],[],0.00,0,0.00,13.68%,436.00,0.49
Enabled,C_CE_Sobral,Teste Ordenação 50% 2018-06-13,BRL,0.07 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_PA_Belem,Teste Ordenação 10% 2018-06-04,BRL,0.11 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,7.12,410,62,15.12%,0.05,2.92,[],[],0.00,0,0.00,3.23%,2.00,1.46
Enabled,C_SP_Piracaia,Teste Ordenação 10% 2018-06-04,BRL,0.08 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,7.78,18,4,22.22%,0.04,0.14,[],[],0.00,0,0.00,0.00%,0.00,0.00
Enabled,C_PR_Curitiba_Aluguel,Teste Ordenação 50% 2018-06-13,BRL,0.11 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,21.51,"104,257","20,245",19.42%,0.11,2242.50,[],[],0.00,0,0.00,13.80%,"2,793.00",0.80
Enabled,C_SP_Barao de Antonina,Teste Ordenação 50% 2018-06-13,BRL,0.20 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,19.00,10,3,30.00%,0.06,0.19,[],[],0.00,0,0.00,0.00%,0.00,0.00
Paused,C_RS_Lajeado,DSA_VivaReal_ Geral,BRL, --,0.38,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,5.99,"41,210","5,447",13.22%,0.05,246.95,[],[],0.00,0,0.00,5.76%,314.00,0.79
Paused,C_SP_Itapui,DSA_VivaReal_ Geral,BRL, --,0.38,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,17.44,"7,517","2,126",28.28%,0.06,131.11,[],[],0.00,0,0.00,1.83%,39.00,3.36
Paused,C_SP_Cerquilho,DSA_VivaReal_ Geral,BRL, --,0.38,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,15.84,"31,994","7,310",22.85%,0.07,506.87,[],[],0.00,0,0.00,6.16%,450.00,1.13
Paused,C_RJ_Itaguai,DSA_VivaReal_ Geral,BRL, --,0.38,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,11.77,"59,153","12,281",20.76%,0.06,696.07,[],[],0.00,0,0.00,7.59%,932.00,0.75
Paused,C_SP_Herculandia,DSA_VivaReal_ Geral,BRL, --,0.38,Paused,ad group paused; campaign paused; unknown,Dynamic,BRL,0,0,0, --,0,0.00,[],[],0.00,0,0,0.00%,0.00,0.00
Enabled,C_SP_Cesario Lange,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,7.85,330,64,19.39%,0.04,2.59,[],[],0.00,0,0.00,0.00%,0.00,0.00
Enabled,C_SP_Miguelopolis,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,5.39,178,24,13.48%,0.04,0.96,[],[],0.00,0,0.00,0.00%,0.00,0.00
Enabled,C_SP_Mirassol,DSA_VivaReal_Geral - tCPA,BRL, --,0.50,Not eligible,campaign ended; unknown,Dynamic,BRL,5.89,"2,046",246,12.02%,0.05,12.05,[],[],0.00,0,0.00,10.16%,25.00,0.48
Enabled,C_MG_Igarape,Teste Ordenação 50% 2018-06-13,BRL,0.19 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,18.67,"6,412","1,896",29.57%,0.06,119.73,[],[],0.00,0,0.00,13.19%,250.00,0.48
Enabled,C_GO_Caldas Novas,Teste Ordenação 50% 2018-06-13,BRL,0.09 (enhanced), --,Not eligible,campaign ended; unknown,Dynamic,BRL,5.20,"4,905",452,9.22%,0.06,25.50,[],[],0.00,0,0.00,19.03%,86.00,0.30
Enabled,B2B_Cadastrar_Imóveis,SEM_B2B,BRL,0.50 (enhanced), --,Not eligible,campaign paused,Standard,BRL,53.39,"1,125",39,3.47%,1.54,60.06,[],[],0.00,0,0.00,7.69%,3.00,20.02
