Optimization Score,Campaign Name
81.3%,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf
82.1%,senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf
84.3%,senbcompramcmvsp_gg_pc_bg_lc_ao_wb_re_vr_pf
93%,pmaxaluguelsp_gg_pm_bg_la_ao_wb_re_vr_pf
93.2%,pmaxcomprasp_gg_pm_bg_lc_ao_wb_re_vr_pf
94.2%,pmaxsp_gg_pc_bg_ld_ao_wb_re_vr_pf
