Start Hour,Impressions
12 AM,"1,053,616"
1 AM,"573,061"
2 AM,"325,077"
3 AM,"220,176"
4 AM,"191,929"
5 AM,"253,392"
6 AM,"491,763"
7 AM,"977,997"
8 AM,"1,576,726"
9 AM,"2,214,193"
10 AM,"2,731,093"
11 AM,"2,960,860"
12 PM,"2,851,785"
1 PM,"2,928,392"
2 PM,"3,028,942"
3 PM,"3,051,591"
4 PM,"2,996,839"
5 PM,"2,834,566"
6 PM,"2,716,816"
7 PM,"2,776,523"
8 PM,"2,893,495"
9 PM,"2,857,258"
10 PM,"2,476,878"
11 PM,"1,840,950"
