Device,Cost,Clicks,Conversions
Computers,"R$760,417.56","2,005,811","267,153.52"
Mobile phones,"R$1,608,821.84","6,530,959","547,810.45"
Tablets,"R$11,715.61","52,408","4,204.95"
TV screens,"R$3,863.49",245,924.28
