Gender,Age Range,Impressions,Percent of known total
Male,18-24,"472,941",2.57%
Male,25-34,"1,740,030",9.46%
Male,35-44,"2,018,080",10.97%
Male,45-54,"1,475,046",8.02%
Male,55-64,"854,405",4.64%
Male,65+,"437,290",2.38%
Female,18-24,"955,921",5.20%
Female,25-34,"3,002,139",16.32%
Female,35-44,"3,056,575",16.62%
Female,45-54,"2,298,019",12.49%
Female,55-64,"1,450,573",7.89%
Female,65+,"633,118",3.44%
