Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,25.16%,25.16%,No data,No data,No data,No data,82.06%,82.06%,No data,No data
wimoveis.com.br,< 10%,< 10%,24.30%,24.30%,6.45%,6.45%,74.65%,74.65%,52.80%,52.80%
imovelweb.com.br,23.32%,23.32%,19.13%,19.13%,33.94%,33.94%,83.67%,83.67%,70.58%,70.58%
chavesnamao.com.br,40.61%,40.61%,13.64%,13.64%,68.69%,68.69%,84.04%,84.04%,66.63%,66.63%
quintoandar.com.br,22.78%,22.78%,18.92%,18.92%,32.31%,32.31%,85.08%,85.08%,76.73%,76.73%
airbnb.com.br,< 10%,< 10%,23.68%,23.68%,10.14%,10.14%,77.65%,77.65%,57.81%,57.81%
mitula.com.br,< 10%,< 10%,23.82%,23.82%,11.70%,11.70%,70.47%,70.47%,45.53%,45.53%
zapimoveis.com.br,13.49%,13.49%,20.65%,20.65%,23.97%,23.97%,87.01%,87.01%,74.79%,74.79%
