Campaign Name,Campaign Group Name,Campaign Status,Cost,Conversions,Cost / conv.
pmaxsp_gg_pc_bg_ld_ao_wb_re_vr_pf,,Enabled,"R$641,859.03","172,837.18",R$3.71
dsageralbr_gg_se_bg_ld_ao_wb_re_vr_pf,,Paused,"R$611,912.67","381,402.05",R$1.60
pmaxcomprasp_gg_pm_bg_lc_ao_wb_re_vr_pf,,Enabled,"R$381,881.26","79,515.50",R$4.80
pmaxaluguelsp_gg_pm_bg_la_ao_wb_re_vr_pf,,Enabled,"R$363,175.73","85,948.86",R$4.23
senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,,Enabled,"R$304,710.22","80,446.32",R$3.79
senbcomprasp_gg_pc_bg_lc_ao_wb_re_vr_pf,,Enabled,"R$61,319.35","13,055.61",R$4.70
senbcompramcmvsp_gg_pc_bg_lc_ao_wb_re_vr_pf,,Enabled,"R$11,488.38","2,387.19",R$4.81
pmaxgeralbr_gg_pc_bg_ld_ao_wb_re_vr_pf,,Paused,"R$8,487.99","4,500.51",R$1.89
