Campaign Name,Ad Group Name,Cost,Cost (Comparison),Clicks,Clicks (Comparison),Interactions,Interactions (Comparison)
pmaxsp_gg_pc_bg_ld_ao_wb_re_vr_pf,,"R$641,859.03",R$0.00,"2,219,810",0,"2,847,568",0
pmaxcomprasp_gg_pm_bg_lc_ao_wb_re_vr_pf,,"R$381,881.26",R$0.00,"1,472,680",0,"1,496,971",0
pmaxaluguelsp_gg_pm_bg_la_ao_wb_re_vr_pf,,"R$363,175.73",R$0.00,"951,570",0,"977,086",0
dsageralbr_gg_se_bg_ld_ao_wb_re_vr_pf,google_dsa_aluguel,"R$277,042.58",R$0.00,"957,082",0,"957,082",0
dsageralbr_gg_se_bg_ld_ao_wb_re_vr_pf,google_dsa_geral_compra,"R$235,405.37",R$0.00,"1,338,036",0,"1,338,036",0
senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Ampla,"R$115,990.08",R$0.00,"337,800",0,"337,800",0
dsageralbr_gg_se_bg_ld_ao_wb_re_vr_pf,google_dsa_geral,"R$99,464.71",R$0.00,"433,352",0,"433,352",0
senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa,"R$56,700.42",R$0.00,"171,587",0,"171,587",0
senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto,"R$35,789.78",R$0.00,"93,793",0,"93,793",0
