,,,,,,,,,,,,,,,,,,,,,,,,,
,"Negócio / Segmento
Produto",Jan./25,Feb./25,Mar./25,Apr./25,May./25,Jun./25,Jul./25,Aug./25,Sep./25,Oct./25,Nov./25,Dec./25,Jan./26,Feb./26,Mar./26,Apr./26,May./26,Jun./26,Jul./26,Aug./26,Sep./26,Oct./26,Nov./26,Dec./26
,Classifieds - Dealers,  19.977.266 ,  20.580.364 ,  20.760.265 ,  21.390.575 ,  22.223.438 ,  21.688.422 ,  21.963.773 ,  21.150.634 ,  21.977.628 ,  22.281.559 ,  21.816.348 ,  20.804.977 ,  21.293.972 ,  22.425.577 ,  23.612.427 ,  23.380.625 ,  24.337.830 ,  24.114.605 ,  24.682.395 ,  -   ,  -   ,  -   ,  -   ,  -   
,Classifieds - Privates,  7.508.406 ,  6.845.524 ,  7.328.633 ,  7.061.054 ,  7.504.700 ,  6.939.193 ,  7.473.038 ,  7.550.162 ,  7.575.842 ,  7.815.248 ,  7.564.387 ,  6.651.613 ,  7.791.003 ,  6.909.487 ,  8.531.494 ,  7.958.691 ,  8.470.293 ,  8.382.786 ,  9.030.131 ,  -   ,  -   ,  -   ,  -   ,  -   
,Transactional & Fintech,  496.104 ,  626.013 ,  731.071 ,  1.060.530 ,  1.170.365 ,  1.075.007 ,  1.156.203 ,  1.233.444 ,  1.210.222 ,  1.219.639 ,  1.200.531 ,  1.116.621 ,  1.143.530 ,  1.114.639 ,  1.425.795 ,  1.461.992 ,  1.679.682 ,  1.593.182 ,  1.621.352 ,  -   ,  -   ,  -   ,  -   ,  -   
,Altimus,  544.300 ,  572.395 ,  522.445 ,  566.600 ,  558.432 ,  537.379 ,  544.074 ,  575.425 ,  590.330 ,  621.724 ,  602.391 ,  588.804 ,  584.804 ,  578.987 ,  567.699 ,  558.008 ,  563.663 ,  564.954 ,  569.786 ,  -   ,  -   ,  -   ,  -   ,  -   
,Advertising,  542.690 ,  711.781 ,  1.031.748 ,  987.578 ,  931.518 ,  988.988 ,  937.083 ,  871.658 ,  937.910 ,  999.558 ,  902.477 ,  847.339 ,  753.477 ,  773.862 ,  884.804 ,  837.440 ,  892.943 ,  1.000.263 ,  814.100 ,  -   ,  -   ,  -   ,  -   ,  -   
,Indirect,  462.741 ,  476.408 ,  755.319 ,  706.142 ,  797.336 ,  785.437 ,  764.999 ,  813.801 ,  780.220 ,  792.921 ,  716.999 ,  688.490 ,  582.563 ,  583.418 ,  682.975 ,  631.011 ,  674.710 ,  682.193 ,  565.164 ,  -   ,  -   ,  -   ,  -   ,  -   
,Direct,  79.949 ,  235.373 ,  276.430 ,  281.436 ,  134.182 ,  203.551 ,  172.084 ,  57.857 ,  157.690 ,  206.637 ,  185.478 ,  158.850 ,  170.913 ,  190.444 ,  201.829 ,  206.429 ,  218.234 ,  318.069 ,  248.936 ,  -   ,  -   ,  -   ,  -   ,  -   
,,,,,,,,,,,,,,,,,,,,,,,,,
, Goods & Services,  15.325.842 ,  14.268.817 ,  15.560.104 ,  15.517.343 ,  16.014.410 ,  15.392.271 ,  16.181.071 ,  16.595.105 ,  15.887.788 ,  16.854.100 ,  17.027.520 ,  15.911.018 ,  17.507.123 ,  16.831.021 ,  19.711.159 ,  19.153.372 ,  20.937.406 ,  20.086.264 ,  21.231.536 ,  -   ,  -   ,  -   ,  -   ,  -   
,Classifieds - Goods Pros,  1.576.755 ,  1.561.744 ,  1.546.681 ,  1.542.285 ,  1.631.592 ,  1.513.662 ,  1.491.392 ,  1.486.305 ,  1.471.437 ,  1.267.132 ,  1.214.204 ,  1.323.933 ,  1.292.007 ,  1.289.180 ,  1.346.242 ,  1.226.493 ,  1.284.758 ,  1.255.049 ,  1.265.383 ,  -   ,  -   ,  -   ,  -   ,  -   
