Gender,Age Range,Impressions,Percent of known total
Male,18-24,"2,265,840",9.46%
Male,25-34,"2,752,152",11.49%
Male,35-44,"2,352,147",9.82%
Male,45-54,"1,907,857",7.97%
Male,55-64,"1,734,134",7.24%
Male,65+,"1,644,290",6.87%
Female,18-24,"1,735,708",7.25%
Female,25-34,"2,070,708",8.65%
Female,35-44,"2,044,151",8.54%
Female,45-54,"1,904,172",7.95%
Female,55-64,"1,788,123",7.47%
Female,65+,"1,747,833",7.30%
