Device,Cost,Clicks,Conversions
Computers,"R$540,237.91","147,374","19,808.07"
Mobile phones,"R$1,837,628.93","1,645,839","92,079.97"
Tablets,"R$42,786.30","40,766","1,608.80"
TV screens,"R$33,943.75","2,424",777.05
