Optimization Score,Campaign Name
84.7%,sebroffbr_gg_se_po_pp_ao_wb_re_go_pf
87.2%,senbwppbr_gg_pc_po_pp_ao_wb_re_go_pf
87.5%,sebroffsp_gg_se_po_pp_ao_wb_re_go_pf
88.7%,pmaxon26br_gg_pc_po_pp_ao_wb_re_go_pf
89.3%,pmaxoff26br_gg_pc_po_pp_ao_wb_re_go_pf
90.6%,senb26sp_gg_pc_po_pp_ao_wb_re_go_pf
