Age Range,Impressions,Percent of known total
18-24,"4,190,251",17.50%
25-34,"4,952,647",20.68%
35-44,"4,490,472",18.75%
45-54,"3,857,941",16.11%
55-64,"3,545,902",14.81%
65+,"3,409,468",14.24%
