Start Hour,Impressions
12 AM,"470,844"
1 AM,"259,059"
2 AM,"144,523"
3 AM,"93,047"
4 AM,"77,177"
5 AM,"101,702"
6 AM,"204,095"
7 AM,"418,815"
8 AM,"739,237"
9 AM,"1,092,156"
10 AM,"1,342,909"
11 AM,"1,415,178"
12 PM,"1,282,689"
1 PM,"1,352,838"
2 PM,"1,433,597"
3 PM,"1,430,434"
4 PM,"1,391,029"
5 PM,"1,286,575"
6 PM,"1,190,010"
7 PM,"1,197,624"
8 PM,"1,226,434"
9 PM,"1,241,590"
10 PM,"1,184,016"
11 PM,"914,138"
