Age Range,Impressions,Percent of known total
18-24,"1,680,585",10.41%
25-34,"5,137,968",31.82%
35-44,"4,543,554",28.14%
45-54,"2,774,277",17.18%
55-64,"1,410,110",8.73%
65+,"633,232",3.92%
