Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,24.38%,24.38%,No data,No data,No data,No data,79.90%,79.90%,No data,No data
chavesnamao.com.br,34.97%,34.97%,20.54%,20.54%,34.44%,34.44%,74.15%,74.15%,45.72%,45.72%
imovelweb.com.br,14.99%,14.99%,22.59%,22.59%,10.79%,10.79%,80.49%,80.49%,68.25%,68.25%
quintoandar.com.br,24.52%,24.52%,20.41%,20.41%,22.11%,22.11%,85.48%,85.48%,73.77%,73.77%
mitula.com.br,< 10%,< 10%,23.90%,23.90%,5.71%,5.71%,49.08%,49.08%,35.02%,35.02%
zapimoveis.com.br,24.03%,24.03%,20.58%,20.58%,20.88%,20.88%,84.82%,84.82%,74.61%,74.61%
airbnb.com.br,< 10%,< 10%,23.17%,23.17%,9.20%,9.20%,68.84%,68.84%,53.96%,53.96%
