Device,Cost,Clicks,Conversions
Computers,"R$470,387.82","3,027,792","1,180,044.63"
Mobile phones,"R$804,852.81","4,356,857","1,190,833.44"
Tablets,"R$7,686.50","55,821","15,928.87"
TV screens,R$0.00,0,0.00
