Age Range,Impressions,Percent of known total
18-24,"123,674,077",10.60%
25-34,"301,634,171",25.86%
35-44,"316,742,704",27.16%
45-54,"219,254,262",18.80%
55-64,"149,266,966",12.80%
65+,"68,702,293",5.89%
