Day,Start Hour,Impressions
Saturday,10 AM,"13,843,894"
Saturday,11 AM,"14,982,252"
Saturday,12 PM,"14,777,132"
Saturday,1 PM,"15,076,246"
Saturday,2 PM,"15,493,487"
Saturday,3 PM,"15,460,544"
Saturday,4 PM,"15,300,553"
Saturday,5 PM,"15,196,904"
Saturday,6 PM,"15,123,366"
Saturday,7 PM,"15,687,469"
Saturday,8 PM,"16,109,676"
Saturday,9 PM,"15,865,967"
Saturday,10 PM,"14,318,885"
Saturday,11 PM,"11,766,993"
