Start Hour,Impressions
12 AM,"54,100,677"
1 AM,"29,973,167"
2 AM,"16,441,827"
3 AM,"10,263,029"
4 AM,"8,278,790"
5 AM,"10,684,942"
6 AM,"21,244,117"
7 AM,"43,259,684"
8 AM,"71,054,651"
9 AM,"99,359,228"
10 AM,"121,876,689"
11 AM,"131,049,057"
12 PM,"126,197,710"
1 PM,"132,595,045"
2 PM,"137,513,421"
3 PM,"137,134,196"
4 PM,"134,871,705"
5 PM,"127,636,722"
6 PM,"122,479,285"
7 PM,"128,045,052"
8 PM,"133,902,334"
9 PM,"134,955,581"
10 PM,"120,885,651"
11 PM,"89,885,630"
