Network,Clicks,Cost,Avg. CPC
Google search,"284,713,826","R$43,082,311.24",R$0.15
Search partners,"2,068,147","R$424,348.52",R$0.21
Display network,"16,827","R$2,106.25",R$0.13
Cross-network,"120,295,466","R$19,821,945.70",R$0.16
