Gender,Age Range,Impressions,Percent of known total
Male,18-24,"40,196,383",3.45%
Male,25-34,"107,580,432",9.22%
Male,35-44,"122,182,832",10.48%
Male,45-54,"84,043,361",7.21%
Male,55-64,"53,107,100",4.55%
Male,65+,"26,846,153",2.30%
Female,18-24,"82,231,148",7.05%
Female,25-34,"189,966,332",16.29%
Female,35-44,"191,113,425",16.39%
Female,45-54,"133,386,323",11.44%
Female,55-64,"95,049,453",8.15%
Female,65+,"40,622,648",3.48%
