Start Hour,Impressions
12 AM,"10,136,572"
1 AM,"5,648,766"
2 AM,"3,017,929"
3 AM,"1,696,586"
4 AM,"1,133,323"
5 AM,"1,449,365"
6 AM,"3,443,113"
7 AM,"6,973,239"
8 AM,"10,470,340"
9 AM,"14,084,014"
10 AM,"17,714,772"
11 AM,"20,463,703"
12 PM,"22,779,772"
1 PM,"22,435,434"
2 PM,"21,842,701"
3 PM,"21,527,619"
4 PM,"22,179,956"
5 PM,"26,289,094"
6 PM,"33,654,674"
7 PM,"39,242,162"
8 PM,"41,616,421"
9 PM,"38,020,463"
10 PM,"30,300,321"
11 PM,"21,382,852"
