Gender,Age Range,Impressions,Percent of known total
Male,18-24,"24,689",6.40%
Male,25-34,"46,288",12.00%
Male,35-44,"39,236",10.18%
Male,45-54,"22,528",5.84%
Male,55-64,"13,290",3.45%
Male,65+,"5,966",1.55%
Female,18-24,"43,726",11.34%
Female,25-34,"74,454",19.31%
Female,35-44,"57,285",14.86%
Female,45-54,"33,096",8.58%
Female,55-64,"18,585",4.82%
Female,65+,"6,466",1.68%
