Age Range,Impressions,Percent of known total
18-24,"68,868",17.86%
25-34,"122,128",31.67%
35-44,"98,036",25.42%
45-54,"56,330",14.61%
55-64,"32,283",8.37%
65+,"13,020",3.38%
