Network,Clicks,Cost,Avg. CPC
Google search,"1,396,443","R$696,132.32",R$0.50
Search partners,"45,525","R$11,698.13",R$0.26
Display network,"8,309,273","R$740,295.45",R$0.09
YouTube,"12,863","R$6,751.78",R$0.52
