Campaign Name,Cost,Cost (Comparison),Clicks,Clicks (Comparison),Interactions,Interactions (Comparison)
App Instalação - Android,"R$941,280.72","R$93,923.10","8,668,405","134,169","8,668,405","134,169"
App Install - Android,"R$418,402.46",R$0.00,"770,926",0,"1,299,048",0
