Campaign report
"September 24, 2021 - September 16, 2026"
Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Optimization score,Campaign subtype,Campaign type,Bid strategy type,Conv. value,TrueView views,Impr.,Avg. CPM,Conversions,Conv. rate,Cost / conv.,Clicks,CTR,Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable),Unique users,TrueView avg. CPV,Cost,Likes,Comments,Shares
Paused,dgenph3aon25br_gg_pc_po_pp_ao_wb_re_go_pf,1.00, --,Daily,BRL,Paused,campaign paused, --,Standard,Demand Gen,Maximize Conversions,20.26,345,"580,264",20.60,21.26,0.06%,562.30,"11,205",1.93%,93.00,0.01,,0.17,11953.83,0,0,0
Paused,[Leads - Display] Plano Zap + Brasília,10.21, --,Daily,BRL,Paused,campaign paused, --,Standard,Display,Target CPA,141.00,0,"222,032",27.88,141.00,5.38%,43.90,"2,621",1.18%,0.00,0.00,,0,6190.13,0,0,0
Paused,dp24br_gg_dp_po_pp_ao_wb_re_go_pf,12.91, --,Daily,BRL,Paused,campaign paused, --,Standard,Display,Maximize Conversions,164.18,0,"268,073",22.85,164.18,1.61%,37.31,"10,190",3.80%,0.00,0.00,,0,6125.92,0,0,0
Paused,pmaxonplanosprof24br_gg_pc_po_pp_ao_wb_re_go_pf #4,67.07, --,Daily,BRL,Paused,campaign paused; No asset groups, --,Standard,Performance Max,Maximize Conversions,0.00,0,0,0,0.00,0.00%,0.00,0, --,0.00,0,,0,0.00,0,0,0
Paused,senbonplanosprof24br_gg_pc_po_pp_ao_wb_re_go_pf,1.99, --,Daily,BRL,Paused,campaign paused, --,Standard,Search,Maximize Conversions,34.02,0,"21,908",845.74,34.02,2.28%,544.62,"1,491",6.81%,0.00,0.00,,0,18528.55,0,0,0
Enabled,sebroffbr_gg_se_po_pp_ao_wb_re_go_pf,852.29, --,Daily,BRL,Eligible (Limited),limited by budget,84.71,Standard,Search,Target CPA,"5,704,865.31",0,"3,127,055",172.58,"10,740.72",4.64%,50.25,"231,322",7.40%,0.00,0.00,,0,539672.33,0,0,0
Paused,Math | Lead | Display | #vaidecorretor | Janeiro,2.83, --,Daily,BRL,Paused,campaign paused, --,Standard,Display,Maximize Conversions,0.00,0,"81,241",3.40,0.00,0.00%,0.00,"1,230",1.51%,0.00,0.00,,0,276.40,0,0,0
Paused,Pesquisa | DataZap,3.58, --,Daily,BRL,Paused,campaign paused, --,Standard,Search,Maximize Conversions,5.00,0,"34,313",57.64,5.00,0.41%,395.58,"1,205",3.51%,0.00,0.00,,0,1977.91,0,0,0
Paused,pmaxonplanosprof24br_gg_pc_po_pp_ao_wb_re_go_pf,67.07, --,Daily,BRL,Paused,campaign paused, --,Standard,Performance Max,Maximize Conversions,"1,438.71","1,658,119","5,772,557",33.66,"1,440.51",0.07%,134.87,"97,161",1.68%,0.00,0.00,,0.06,194278.30,0,0,0
Paused,pmaxonplanosprof24br_gg_pc_po_pp_ao_wb_re_go_pf #3,67.07, --,Daily,BRL,Paused,campaign paused; No asset groups, --,Standard,Performance Max,Maximize Conversions,0.00,0,0,0,0.00,0.00%,0.00,0, --,0.00,0,,0,0.00,0,0,0
Paused,[Institucional] Search | Leads | PlanoZAP+ | Paraná,6.27, --,Daily,BRL,Paused,campaign paused, --,Standard,Search,Maximize Conversions,206.00,0,"83,487",44.98,206.00,8.92%,18.23,"2,309",2.77%,0.00,0.00,,0,3755.42,0,0,0
Paused,Display | DataZap,1.44, --,Daily,BRL,Paused,campaign paused, --,Standard,Display,Maximize Conversions,1.00,0,"74,516",14.23,1.00,0.06%,1060.67,"1,810",2.43%,0.00,0.00,,0,1060.67,0,0,0
