Search keyword report
"May 16, 2025 - September 16, 2026"
Keyword status,Keyword,Match type,Campaign,Ad group,Status,Status reasons,Final URL,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.
Enabled,casas para alugar,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa,Eligible,,,"23,777","3,964",16.67%,BRL,0.45,1777.10,"3,964",11.48%,455.20,0.45,3.90
Enabled,casa para alugar perto de mim,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa,Eligible,,,"8,619","1,541",17.88%,BRL,0.45,698.74,"1,541",11.81%,181.99,0.45,3.84
Enabled,alugar casa,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa,Eligible,,,"128,814","26,225",20.36%,BRL,0.33,8758.25,"26,225",7.37%,"1,932.98",0.33,4.53
Enabled,casa para alugar são paulo,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa,Eligible,,,"12,354","1,853",15.00%,BRL,0.56,1031.29,"1,853",15.05%,278.93,0.56,3.70
Enabled,casa praia ubatuba,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa,Eligible,,,"1,038",164,15.80%,BRL,0.27,43.66,164,5.92%,9.71,0.27,4.50
Enabled,aluguel de casa,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa,Eligible,,,"11,277","2,098",18.60%,BRL,0.31,660.81,"2,098",8.28%,173.72,0.31,3.80
Enabled,alugar casa condominio,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa,Eligible,,,"6,293","1,445",22.96%,BRL,0.25,364.06,"1,445",5.90%,85.29,0.25,4.27
Enabled,casa para alugar,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa,Eligible,,,"77,673","14,061",18.10%,BRL,0.39,5540.65,"14,061",10.34%,"1,454.29",0.39,3.81
Enabled,casa com garagem para alugar,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa,Eligible,,,"1,266",227,17.93%,BRL,0.36,81.58,227,10.12%,22.98,0.36,3.55
Enabled,casa para alugar curitiba,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa,Eligible,,,"8,833","1,834",20.76%,BRL,0.30,547.49,"1,834",8.71%,159.65,0.30,3.43
Enabled,casa para alugar campinas,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa,Eligible,,,"24,283","5,945",24.48%,BRL,0.46,2757.56,"5,945",12.56%,746.78,0.46,3.69
Enabled,casas da praia,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa,Eligible,,,69,8,11.59%,BRL,0.76,6.09,8,0.00%,0.00,0.76,0.00
Enabled,casa alugar,Broad match,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Casa,Eligible,,,"446,352","97,036",21.74%,BRL,0.30,29570.55,"97,036",8.47%,"8,222.85",0.30,3.60
