Ad report
"May 16, 2025 - September 16, 2026"
Ad status,Final URL,Headline 1,Headline 1 position,Headline 2,Headline 2 position,Headline 3,Headline 3 position,Headline 4,Headline 4 position,Headline 5,Headline 5 position,Headline 6,Headline 6 position,Headline 7,Headline 7 position,Headline 8,Headline 8 position,Headline 9,Headline 9 position,Headline 10,Headline 10 position,Headline 11,Headline 11 position,Headline 12,Headline 12 position,Headline 13,Headline 13 position,Headline 14,Headline 14 position,Headline 15,Headline 15 position,Description,Description 1,Description 1 position,Description 2,Description 2 position,Description 3,Description 3 position,Description 4,Description 4 position,Path 1,Path 2,Mobile final URL,Tracking template,Final URL suffix,Custom parameter,Campaign,Ad group,Status,Status reasons,Ad type,Impr.,Interactions,Interaction rate,Currency code,Avg. cost,Cost,Conv. rate,Conversions,Cost / conv.
Enabled,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,No Viva Real tem imóveis de todos os tamanhos pra você., --, --,"Casas, apartamentos e até kitnets na sua região. Escolha agora o seu próximo lar.", --, --, --, --, --, --, --,, --, --,,dsageralbr_gg_se_bg_ld_ao_wb_re_vr_pf,google_dsa_aluguel,Not eligible,campaign paused,Expanded dynamic search ad,"1,281,799","206,670",16.12%,BRL,0.24,50358.97,11.44%,"23,646.16",2.13
Enabled,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Imóveis pra morar com a família ou com o pet. Veja as melhores opções no Viva Real., --, --,O Viva Real tem a casa nova que você sempre sonhou. Alugue ou compre agora mesmo., --, --, --, --, --, --, --,, --, --,,dsageralbr_gg_se_bg_ld_ao_wb_re_vr_pf,google_dsa_aluguel,Not eligible,campaign paused,Expanded dynamic search ad,"2,575,866","446,751",17.34%,BRL,0.29,127772.58,17.65%,"78,838.05",1.62
Paused,https://www.vivareal.com.br/aluguel/sp/jundiai/casa_residencial/,Casa em Condomínio Fechado, --,Aluguel de Casas com Lazer, --,Casa com Quintal e Piscina, --,Alugue Sua Casa no Viva Real, --,Casa de Aluguel Sem Fiador, --,Ache Sua Casa em Jundiaí, --,Casas Amplas 3 e 4 Quartos, --,Sua Casa com Espaço Gourmet, --,Casas para Alugar em Jundiaí, --,Acesse Nosso Site, --,Entre Em Contato, --,Só no Viva Real Tem, --,Casas para alugar, --,Jundiaí - SP, --,Viva Real Imóveis, --, --,Casas para alugar nos melhores bairros de Jundiaí/SP., --,Casas Amplas com Piscina e Churrasqueira. Conforto e espaço que sua família merece, --,Alugue Sua Casa de forma Rápida e Sem Burocracia. Temos opções Sem Fiador., --,Milhares de Casas para Alugar em Jundiaí. Aluguel Rápido e Descomplicado., --, --, --,, --, --,,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Jundiaí,Paused,paused,Responsive search ad,"26,846","4,951",18.44%,BRL,0.40,2004.06,10.98%,543.56,3.69
Enabled,https://www.vivareal.com.br/aluguel/sp/apartamento_residencial/,Aluguel, --,Viva Real Imóveis, --,Espaço Para Você, --,Imóveis para Alugar, --,No Viva Real você encontra, --,Apartamento Dos Sonhos, --,Aluguel de Apartamento, --,Imóveis para alugar no Brasil, --,Seu Apto Novo no Viva Real, --,Acesse Nosso Site, --,Entre Em Contato, --,Só no Viva Real Tem, --,Condomínio Fechado, --,Viva Real, --, --, --, --,Só no Viva Real você encontra os melhores aptos., --,Procurando por um Novo Lar? No Viva Real Você Encontra. Confira Nossas Ofertas de Aluguel, --,Encontre Sua Próxima Casa: Opções de Aluguel para Todos os Estilos de Vida, --,Alugue de forma Rápida e Sem Burocracia. Temos opções Sem Fiador., --,aluguel,apartametno,, --, --,,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto,Eligible,,Responsive search ad,"495,023","93,797",18.95%,BRL,0.38,35791.21,9.62%,"9,027.50",3.96
Enabled,https://www.vivareal.com.br/aluguel/sp/indaiatuba/casa_residencial/,Casa em Condomínio Fechado, --,Aluguel de Casas com Lazer, --,Casa com Quintal e Piscina, --,Alugue Sua Casa no Viva Real, --,Casa de Aluguel Sem Fiador, --,Ache Sua Casa em Indaiatuba, --,Casas Amplas 3 e 4 Quartos, --,Sua Casa com Espaço Gourmet, --,Casas para Alugar Indaiatuba, --,Acesse Nosso Site, --,Entre Em Contato, --,Só no Viva Real Tem, --,Casas para alugar, --,Indaiatuba - SP, --,Viva Real Imóveis, --, --,Casas para alugar nos melhores bairros de Indaiatuba/SP., --,Casas Amplas com Piscina e Churrasqueira. Conforto e espaço que sua família merece, --,Alugue Sua Casa de forma Rápida e Sem Burocracia. Temos opções Sem Fiador., --,Milhares de Casas para Alugar em Indaiatuba. Aluguel Rápido e Descomplicado., --, --, --,, --, --,,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Indaiatuba,Eligible,,Responsive search ad,"81,790","17,911",21.90%,BRL,0.38,6881.37,10.51%,"1,881.98",3.66
Enabled,https://www.vivareal.com.br/aluguel/sp/sorocaba/apartamento_residencial/,Apês para Alugar em Sorocaba, --,Aptos com Condomínio Incluso, --,Apê na Zona Sul Sorocaba, --,Apê com Piscina em Sorocaba, --,Aluguel Sem Fiador, --,Apartamento Dos Sonhos, --,Apê Mobiliado em Sorocaba, --,Apês de 2 e 3 Quartos, --,Seu Apê em Sorocaba, --,Perto do Shopping em Sorocaba, --,Apês Novos e Reformados, --,Apê com Garagem Coberta, --,Aluguel Rápido e Fácil, --,Ofertas Exclusivas em Sorocaba, --,Viva Real, --, --,Apês na Zona Sul em Condomínio 24h. Piscina e Lazer Completo para a família., --,Aluguel Sem Fiador ou Burocracia! Opções Mobiliadas prontas para morar em Sorocaba., --,More Perto de Tudo! Próximo a Shoppings e Serviços. Apês de 1 a 3 Quartos em Oferta., --,Ache Seu Novo Apê! Locação Segura e Digital. Milhares de opções na região de Sorocaba., --, --, --,, --, --,,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto Sorocaba,Eligible,,Responsive search ad,"55,330","10,390",18.78%,BRL,0.43,4472.57,12.04%,"1,250.64",3.58
Enabled,https://www.vivareal.com.br/aluguel/sp/sao-paulo/apartamento_residencial/,Apê Perto do Metrô em SP, --,Aluguel Sem Fiador em SP, --,Alugue Seu Studio em São Paulo, --,Condomínio com Piscina em SP, --,Apês de 2 e 3 Quartos em SP, --,Seu Novo Apê em São Paulo Já, --,Lazer Clube e Segurança 24h, --,Apê Perto do Trabalho, --,Aluguel Rápido e Digital, --,Seu Pet vem Junto, --,Entre Em Contato, --,Apê com Lavanderia Coletiva, --,Apê com Varanda Gourmet, --, --, --, --, --, --,Apês ao lado do Metrô. Locação Sem Fiador e Contrato 100% Digital. Ocupação Rápida, --,Condomínio Clube com Piscina e Academia. Apartamentos Seguros e com Lazer completo., --,Studios e Apês Mobiliados de 1 a 3 Quartos. Encontre seu novo lar em SP sem sair de casa., --,"More perto de tudo! Próximo ao Centro, Comércio e Lazer. Milhares de opções em São Paulo.", --, --, --,, --, --,,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Apto SP,Eligible,,Responsive search ad,"256,559","47,792",18.63%,BRL,0.45,21615.27,11.21%,"5,358.56",4.03
Enabled,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,Viver o seu sonho pode ser real. Acesse agora o site do Viva Real e encontre seu novo apto, --, --,Encontre Sua Casa Nova Aqui no Viva Real. Velocidade e Simplicidade Somente no Viva Real, --, --, --, --, --, --, --,, --, --,,dsageralbr_gg_se_bg_ld_ao_wb_re_vr_pf,google_dsa_geral_compra,Not eligible,campaign paused,Expanded dynamic search ad,"3,222,523","420,068",13.04%,BRL,0.21,87297.42,12.64%,"53,095.38",1.64
Enabled,https://www.vivareal.com.br/aluguel/sp/ribeirao-preto/apartamento_residencial/,"Casas, Studios, Aptos e Kitnet", --,Apê Mobiliado Ribeirão Preto, --,Apê com Sacada Gourmet, --,Locação de Imóveis, --,Apê 1 ou 2 Quartos, --,Condomínio Clube, --,Alugue seu Apartamento, --,Apartamento com Varanda, --,Seu Apto Novo no Viva Real, --,Imobiliárias em Ribeirão, --,Entre Em Contato, --,Só no Viva Real Imóveis Tem, --,Viva Real Imóveis, --,Casas Para Alugar, --,Aluguel Fácil e Rápido, --, --,As melhores opções de aluguel em Ribeirão Preto e Região., --,"Apês Mobiliados, Sacada com Churrasqueira e Condomínio Clube.", --,Alugue de forma Rápida e Sem Burocracia. Temos opções Sem Fiador., --,Encontre apês para alugar em Ribeirão Preto. Agende sua visita online., --,imoveis,ribeirao,, --, --,,senbaluguelsp_gg_pc_bg_ld_ao_wb_re_vr_pf,Ribeirão Preto,Eligible,,Responsive search ad,"80,709","14,952",18.53%,BRL,0.48,7242.80,13.08%,"1,955.09",3.70
Total: All but removed ads,, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --, --,, --, --, --, --, --, --,, --,"24,233,764","3,918,357",16.17%,BRL,0.25,989453.37,12.18%,"477,291.16",2.07
Total: Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,826,030","9,280,798",19.82%,BRL,0.26,2385003.26,8.84%,"820,190.21",2.91
Total: Performance Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,592,266","5,362,441",23.74%,BRL,0.26,1395549.89,6.39%,"342,899.05",4.07
Total: Search,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,233,764","3,918,357",16.17%,BRL,0.25,989453.37,12.18%,"477,291.16",2.07
